UniProt_AC,gene_name,uniprot_entry_name,protein_name,gpcr_class_letter,gpcr_class_name,gpcr_family,organism,chembl_target_id,n_pairs_in_db,has_gpcract_prediction
O75084,FZD7,FZD7_HUMAN,Frizzled-7,Frizzled,Class F (Frizzled),Frizzled,Homo sapiens,CHEMBL3559688,35,True
O88410,Cxcr3,CXCR3_MOUSE,C-X-C chemokine receptor type 3,A,Class A (Rhodopsin),,Mus musculus,CHEMBL5200,3,False
O88855,Ltb4r,LT4R1_MOUSE,Leukotriene B4 receptor 1,A,Class A (Rhodopsin),,Mus musculus,CHEMBL2657,1,False
O88944,Kcnq3,KCNQ3_RAT,Potassium voltage-gated channel subfamily KQT member 3,,,,Rattus norvegicus,CHEMBL5531,8,False
O95136,S1PR2,S1PR2_HUMAN,Sphingosine 1-phosphate receptor Edg-5,A,Class A (Rhodopsin),Lysophospholipid (S1P) receptors,Homo sapiens,CHEMBL2955,617,True
O95665,NTSR2,NTR2_HUMAN,Neurotensin receptor 2,A,Class A (Rhodopsin),Neurotensin receptors,Homo sapiens,CHEMBL2514,140,False
O95838,GLP2R,GLP2R_HUMAN,Glucagon-like peptide 2 receptor,B,Class B1 (Secretin),Glucagon receptor family,Homo sapiens,CHEMBL5844,101,False
O95977,S1PR4,S1PR4_HUMAN,Sphingosine 1-phosphate receptor Edg-6,A,Class A (Rhodopsin),Lysophospholipid (S1P) receptors,Homo sapiens,CHEMBL3230,669,False
P01178,OXT,NEU1_HUMAN,Oxytocin-neurophysin 1 proprotein,,,,Homo sapiens,CHEMBL5169107,31,False
P01185,AVP,NEU2_HUMAN,Vasopressin-neurophysin 2-copeptin,,,,Homo sapiens,,31,False
P02665,Csn2,CASB_RAT,Beta-casein,,,,Rattus norvegicus,CHEMBL2210,5,False
P02788,LTF,TRFL_HUMAN,Lactotransferrin,,,,Homo sapiens,CHEMBL4523161,1,False
P04201,MAS1,MAS_HUMAN,Proto-oncogene Mas,A,Class A (Rhodopsin),Class A orphans,Homo sapiens,CHEMBL3559701,2,False
P05363,TACR2,NK2R_BOVIN,Substance-K receptor,A,Class A (Rhodopsin),,Bos taurus,CHEMBL4815,2,False
P07550,ADRB2,ADRB2_HUMAN,Beta-2 adrenergic receptor,A,Class A (Rhodopsin),Adrenoceptors,Homo sapiens,CHEMBL210,3041,True
P08172,CHRM2,ACM2_HUMAN,Muscarinic acetylcholine receptor M2,A,Class A (Rhodopsin),Acetylcholine receptors (muscarinic),Homo sapiens,CHEMBL211,1839,True
P08173,CHRM4,ACM4_HUMAN,Muscarinic acetylcholine receptor M4,A,Class A (Rhodopsin),Acetylcholine receptors (muscarinic),Homo sapiens,CHEMBL1821,1423,True
P08482,Chrm1,ACM1_RAT,Muscarinic acetylcholine receptor M1,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL276,545,False
P08483,Chrm3,ACM3_RAT,Muscarinic acetylcholine receptor M3,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL320,64,False
P08485,Chrm4,ACM4_RAT,Muscarinic acetylcholine receptor M4,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL317,358,False
P08588,ADRB1,ADRB1_HUMAN,Beta-1 adrenergic receptor,A,Class A (Rhodopsin),Adrenoceptors,Homo sapiens,CHEMBL213,1520,True
P08908,HTR1A,5HT1A_HUMAN,Serotonin 1a (5-HT1a) receptor,A,Class A (Rhodopsin),5-Hydroxytryptamine receptors,Homo sapiens,CHEMBL214,4477,True
P08909,Htr2c,5HT2C_RAT,5-hydroxytryptamine receptor 2C,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL324,118,False
