UniProt_AC,gene_name,uniprot_entry_name,protein_name,gpcr_class_letter,gpcr_class_name,gpcr_family,organism,chembl_target_id,n_pairs_in_db,has_gpcract_prediction
P21462,FPR1,FPR1_HUMAN,Formyl peptide receptor 1,A,Class A (Rhodopsin),Formylpeptide receptors,Homo sapiens,CHEMBL3359,669,True
P21554,CNR1,CNR1_HUMAN,Cannabinoid CB1 receptor,A,Class A (Rhodopsin),Cannabinoid receptors,Homo sapiens,CHEMBL218,6407,True
P21556,PTAFR,PTAFR_CAVPO,Platelet-activating factor receptor,A,Class A (Rhodopsin),,Cavia porcellus,CHEMBL5136,59,False
P21728,DRD1,DRD1_HUMAN,Dopamine D1 receptor,A,Class A (Rhodopsin),Dopamine receptors,Homo sapiens,CHEMBL2056,1823,True
P21730,C5AR1,C5AR1_HUMAN,C5a anaphylatoxin chemotactic receptor,A,Class A (Rhodopsin),Complement peptide receptors,Homo sapiens,CHEMBL2373,352,True
P21731,TBXA2R,TA2R_HUMAN,Thromboxane A2 receptor,A,Class A (Rhodopsin),Prostanoid receptors,Homo sapiens,CHEMBL2069,1147,True
P21761,Trhr,TRHR_MOUSE,Thyrotropin-releasing hormone receptor,A,Class A (Rhodopsin),,Mus musculus,CHEMBL2467,36,False
P21917,DRD4,DRD4_HUMAN,Dopamine D4 receptor,A,Class A (Rhodopsin),Dopamine receptors,Homo sapiens,CHEMBL219,2172,True
P21918,DRD5,DRD5_HUMAN,Dopamine D5 receptor,A,Class A (Rhodopsin),Dopamine receptors,Homo sapiens,CHEMBL1850,482,True
P22888,LHCGR,LSHR_HUMAN,Luteinizing hormone/Choriogonadotropin receptor,A,Class A (Rhodopsin),Glycoprotein hormone receptors,Homo sapiens,CHEMBL1854,148,True
P22909,Adra2a,ADA2A_RAT,Alpha-2A adrenergic receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL327,661,False
P23385,Grm1,GRM1_RAT,Metabotropic glutamate receptor 1,C,Class C (Glutamate),,Rattus norvegicus,CHEMBL4477,273,False
P23944,Adra1d,ADA1D_RAT,Alpha-1D adrenergic receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL326,279,False
P23945,FSHR,FSHR_HUMAN,Follicle stimulating hormone receptor,A,Class A (Rhodopsin),Glycoprotein hormone receptors,Homo sapiens,CHEMBL2024,99,True
P24530,EDNRB,EDNRB_HUMAN,Endothelin receptor ET-B,A,Class A (Rhodopsin),Endothelin receptors,Homo sapiens,CHEMBL1785,574,True
P24557,TBXAS1,THAS_HUMAN,Thromboxane-A synthase,,,,Homo sapiens,CHEMBL1835,3,False
P25021,HRH2,HRH2_HUMAN,Histamine H2 receptor,A,Class A (Rhodopsin),Histamine receptors,Homo sapiens,CHEMBL1941,423,True
P25023,Bdkrb2,BKRB2_RAT,B2 bradykinin receptor,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL2501,49,False
P25024,CXCR1,CXCR1_HUMAN,Interleukin-8 receptor A,A,Class A (Rhodopsin),Chemokine receptors,Homo sapiens,CHEMBL4029,206,True
P25025,CXCR2,CXCR2_HUMAN,Interleukin-8 receptor B,A,Class A (Rhodopsin),Chemokine receptors,Homo sapiens,CHEMBL2434,965,False
P25090,FPR2,FPR2_HUMAN,Lipoxin A4 receptor,A,Class A (Rhodopsin),Formylpeptide receptors,Homo sapiens,CHEMBL4227,619,True
P25095,Agtr1,AGTRA_RAT,Type-1 angiotensin II receptor A,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL329,13,False
P25098,GRK2,GRK2_HUMAN,G protein-coupled receptor kinase 2,,,,Homo sapiens,CHEMBL4079,13,False
