layer,n_compounds,n_approved,approval_rate_pct,wilson_ci_lo_pct,wilson_ci_hi_pct,e_bliss,bliss_SI,bliss_SI_ci_lo,bliss_SI_ci_hi
L1,65755,109,0.1658,0.1374,0.1999,0.001658,1.0,0.8292,1.206
L2,36546,77,0.2107,0.1686,0.2632,0.002107,1.0,0.8003,1.2493
L3,1812,10,0.5519,0.3,1.0129,0.005519,1.0,0.5437,1.8354
L4,59592,169,0.2836,0.244,0.3296,0.002836,1.0,0.8603,1.1623
